Entity,Code,Year,Annual CO2 emissions (per capita)
Angola,AGO,2002,0.7191
Angola,AGO,2003,0.496
Angola,AGO,2004,0.9969
Angola,AGO,2005,0.978
Angola,AGO,2006,1.0969
Angola,AGO,2007,1.1948
Angola,AGO,2008,1.1747
Angola,AGO,2009,1.2243
Angola,AGO,2010,1.2358
Angola,AGO,2011,1.2522
Angola,AGO,2012,1.3462
Angola,AGO,2013,1.2772
Angola,AGO,2014,1.2359
Angola,AGO,2015,1.2057
Angola,AGO,2016,1.0888
Angola,AGO,2017,0.9532
Angola,AGO,2018,0.7912
Angola,AGO,2019,0.738
Angola,AGO,2020,0.6754
Anguilla,AIA,1990,5.7675
Anguilla,AIA,1991,5.6135
Anguilla,AIA,1992,5.8888
Anguilla,AIA,1993,6.9489
Anguilla,AIA,1994,6.8266
Anguilla,AIA,1995,6.6834
Anguilla,AIA,1996,6.8811
Anguilla,AIA,1997,6.7016
Anguilla,AIA,1998,7.2018
Anguilla,AIA,1999,7.342
Anguilla,AIA,2000,7.8186
Anguilla,AIA,2001,8.2694
Anguilla,AIA,2002,8.1034
Anguilla,AIA,2003,8.5543
Anguilla,AIA,2004,9.8865
Anguilla,AIA,2005,10.307
Anguilla,AIA,2006,11.2872
Anguilla,AIA,2007,11.6797
Anguilla,AIA,2008,11.5061
Anguilla,AIA,2009,11.0628
Anguilla,AIA,2010,11.1807
Anguilla,AIA,2011,10.4978
Anguilla,AIA,2012,10.3593
Anguilla,AIA,2013,8.4037
Anguilla,AIA,2014,9.8648
Anguilla,AIA,2015,10.7772
Anguilla,AIA,2016,10.6608
Anguilla,AIA,2017,9.7954
Anguilla,AIA,2018,9.6958
Anguilla,AIA,2019,9.3784
Anguilla,AIA,2020,8.2273
Antigua and Barbuda,ATG,1957,0.428
Antigua and Barbuda,ATG,1958,0.5607
Antigua and Barbuda,ATG,1959,0.5508
Antigua and Barbuda,ATG,1960,0.6769
Antigua and Barbuda,ATG,1961,0.866
Antigua and Barbuda,ATG,1962,1.837
Antigua and Barbuda,ATG,1963,1.4863
Antigua and Barbuda,ATG,1964,1.5891
Antigua and Barbuda,ATG,1965,2.5592
Antigua and Barbuda,ATG,1966,5.8099
Antigua and Barbuda,ATG,1967,9.2138
Antigua and Barbuda,ATG,1968,15.8227
Antigua and Barbuda,ATG,1969,19.7749
Antigua and Barbuda,ATG,1970,7.1928
Antigua and Barbuda,ATG,1971,6.6045
Antigua and Barbuda,ATG,1972,5.8273
Antigua and Barbuda,ATG,1973,5.1809
Antigua and Barbuda,ATG,1974,6.7929
Antigua and Barbuda,ATG,1975,11.2836
Antigua and Barbuda,ATG,1976,6.4638
Antigua and Barbuda,ATG,1977,7.4857
Antigua and Barbuda,ATG,1978,7.9141
Antigua and Barbuda,ATG,1979,6.5652
Antigua and Barbuda,ATG,1980,2.31
Antigua and Barbuda,ATG,1981,1.7197
Antigua and Barbuda,ATG,1982,4.7446
Antigua and Barbuda,ATG,1983,1.3641
Antigua and Barbuda,ATG,1984,2.3721
Antigua and Barbuda,ATG,1985,4.0326
Antigua and Barbuda,ATG,1986,4.0346
Antigua and Barbuda,ATG,1987,4.4529
Antigua and Barbuda,ATG,1988,4.6276
Antigua and Barbuda,ATG,1989,4.609
Antigua and Barbuda,ATG,1990,3.5156
Antigua and Barbuda,ATG,1991,3.3539
Antigua and Barbuda,ATG,1992,3.24
Antigua and Barbuda,ATG,1993,3.2865
Antigua and Barbuda,ATG,1994,3.2169
Antigua and Barbuda,ATG,1995,3.2547
Antigua and Barbuda,ATG,1996,3.3938
Antigua and Barbuda,ATG,1997,3.5768
Antigua and Barbuda,ATG,1998,3.7031
Antigua and Barbuda,ATG,1999,3.7781
Antigua and Barbuda,ATG,2000,3.8565
Antigua and Barbuda,ATG,2001,3.8438
Antigua and Barbuda,ATG,2002,4.2116
Antigua and Barbuda,ATG,2003,4.435
Antigua and Barbuda,ATG,2004,4.5602
Antigua and Barbuda,ATG,2005,4.5878
Antigua and Barbuda,ATG,2006,4.6512
Antigua and Barbuda,ATG,2007,4.84
Antigua and Barbuda,ATG,2008,4.8914
Antigua and Barbuda,ATG,2009,5.111
Antigua and Barbuda,ATG,2010,5.1611
Antigua and Barbuda,ATG,2011,4.9674
Antigua and Barbuda,ATG,2012,5.066
Antigua and Barbuda,ATG,2013,5.045
Antigua and Barbuda,ATG,2014,4.9876
Antigua and Barbuda,ATG,2015,5.1296
Antigua and Barbuda,ATG,2016,5.1944
Antigua and Barbuda,ATG,2017,5.1452
Antigua and Barbuda,ATG,2018,5.1755
Antigua and Barbuda,ATG,2019,5.0082
Antigua and Barbuda,ATG,2020,4.3952
Argentina,ARG,1887,0.3541
Argentina,ARG,1888,0.2817
Argentina,ARG,1889,0.5379
Argentina,ARG,1890,0.4067
Argentina,ARG,1891,0.2695
Argentina,ARG,1892,0.3852
Argentina,ARG,1893,0.4182
Argentina,ARG,1894,0.5192
Argentina,ARG,1895,0.5707
Argentina,ARG,1896,0.5621
Argentina,ARG,1897,0.4912
Argentina,ARG,1898,0.5364
Argentina,ARG,1899,0.6448
Argentina,ARG,1900,0.4415
Argentina,ARG,1901,0.5127
Argentina,ARG,1902,0.5582
Argentina,ARG,1903,0.5467
Argentina,ARG,1904,0.6985
Argentina,ARG,1905,0.7059
Argentina,ARG,1906,1.0678
Argentina,ARG,1907,1.0285
Argentina,ARG,1908,1.2065
Argentina,ARG,1909,0.9077
Argentina,ARG,1910,1.3185
Argentina,ARG,1911,1.428
Argentina,ARG,1912,1.3235
Argentina,ARG,1913,1.3805
Argentina,ARG,1914,1.15
Argentina,ARG,1915,0.8967
Argentina,ARG,1916,0.6279
Argentina,ARG,1917,0.2738
Argentina,ARG,1918,0.3014
Argentina,ARG,1919,0.4338
Argentina,ARG,1920,0.6673
Argentina,ARG,1921,0.6101
Argentina,ARG,1922,0.781
Argentina,ARG,1923,0.8774
Argentina,ARG,1924,1.1055
Argentina,ARG,1925,1.1007
Argentina,ARG,1926,1.0709
Argentina,ARG,1927,1.235
Argentina,ARG,1928,1.1423
Argentina,ARG,1929,1.1461
Argentina,ARG,1930,1.0875
Argentina,ARG,1931,1.07
Argentina,ARG,1932,1.07
Argentina,ARG,1933,1.0621
Argentina,ARG,1934,1.1231
Argentina,ARG,1935,1.0848
Argentina,ARG,1936,1.1497
Argentina,ARG,1937,1.2507
Argentina,ARG,1938,1.2022
Argentina,ARG,1939,1.2554
Argentina,ARG,1940,1.1255
Argentina,ARG,1941,0.9709
Argentina,ARG,1942,0.9213
Argentina,ARG,1943,0.944
Argentina,ARG,1944,0.9179
Argentina,ARG,1945,0.8821
Argentina,ARG,1946,0.8677
Argentina,ARG,1947,0.9018
Argentina,ARG,1948,1.06
Argentina,ARG,1949,0.9189
Argentina,ARG,1950,1.7562
Argentina,ARG,1951,2.0105
Argentina,ARG,1952,2.0343
Argentina,ARG,1953,1.9418
Argentina,ARG,1954,1.9926
Argentina,ARG,1955,2.1054
Argentina,ARG,1956,2.3153
Argentina,ARG,1957,2.4449
Argentina,ARG,1958,2.2308
Argentina,ARG,1959,2.4297
Argentina,ARG,1960,2.3809
Argentina,ARG,1961,2.456
Argentina,ARG,1962,2.5358
Argentina,ARG,1963,2.3283
Argentina,ARG,1964,2.5508
Argentina,ARG,1965,2.6537
Argentina,ARG,1966,2.804
Argentina,ARG,1967,2.8681
Argentina,ARG,1968,2.9786
Argentina,ARG,1969,3.2847
Argentina,ARG,1970,3.4609
Argentina,ARG,1971,3.6624
Argentina,ARG,1972,3.6533
Argentina,ARG,1973,3.7506
Argentina,ARG,1974,3.7499
Argentina,ARG,1975,3.6668
Argentina,ARG,1976,3.7959
Argentina,ARG,1977,3.7772
Argentina,ARG,1978,3.7898
Argentina,ARG,1979,4.0266
Argentina,ARG,1980,3.895
Argentina,ARG,1981,3.5982
Argentina,ARG,1982,3.5893
Argentina,ARG,1983,3.5931
Argentina,ARG,1984,3.5798
Argentina,ARG,1985,3.3271
Argentina,ARG,1986,3.3926
Argentina,ARG,1987,3.6838
Argentina,ARG,1988,3.8336
Argentina,ARG,1989,3.64
Argentina,ARG,1990,3.436
Argentina,ARG,1991,3.5523
Argentina,ARG,1992,3.6157
Argentina,ARG,1993,3.4671
Argentina,ARG,1994,3.5529
Argentina,ARG,1995,3.6684
Argentina,ARG,1996,3.8234
Argentina,ARG,1997,3.8601
Argentina,ARG,1998,3.8668
Argentina,ARG,1999,4.0388
Argentina,ARG,2000,3.861
Argentina,ARG,2001,3.5949
Argentina,ARG,2002,3.3011
Argentina,ARG,2003,3.5347
Argentina,ARG,2004,4.0799
Argentina,ARG,2005,4.1507
Argentina,ARG,2006,4.4441
Argentina,ARG,2007,4.3908
Argentina,ARG,2008,4.6932
Argentina,ARG,2009,4.4204
Argentina,ARG,2010,4.5661
Argentina,ARG,2011,4.6048
Argentina,ARG,2012,4.5914
Argentina,ARG,2013,4.506
Argentina,ARG,2014,4.4247
Argentina,ARG,2015,4.4667
Argentina,ARG,2016,4.3894
Argentina,ARG,2017,4.2744
Argentina,ARG,2018,4.0824
Argentina,ARG,2019,3.7419
Argentina,ARG,2020,3.4733
Armenia,ARM,1830,0.0001
Armenia,ARM,1831,0.0001
Armenia,ARM,1832,0.0001
Armenia,ARM,1833,0.0001
Armenia,ARM,1850,0.0005
Armenia,ARM,1855,0.0014
Armenia,ARM,1858,0.0019
Armenia,ARM,1859,0.002
Armenia,ARM,1860,0.0026
Armenia,ARM,1861,0.0033
Armenia,ARM,1862,0.0029
Armenia,ARM,1863,0.0031
Armenia,ARM,1864,0.0034
Armenia,ARM,1865,0.0032
Armenia,ARM,1866,0.0101
Armenia,ARM,1867,0.0115
Armenia,ARM,1868,0.0095
Armenia,ARM,1869,0.0127
Armenia,ARM,1870,0.0137
Armenia,ARM,1871,0.0183
Armenia,ARM,1872,0.0186
Armenia,ARM,1873,0.0173
Armenia,ARM,1874,0.0208
Armenia,ARM,1875,0.0238
Armenia,ARM,1876,0.0292
Armenia,ARM,1877,0.0296
Armenia,ARM,1878,0.0383
Armenia,ARM,1879,0.039
Armenia,ARM,1880,0.0453
Armenia,ARM,1881,0.0473
Armenia,ARM,1882,0.0494
Armenia,ARM,1883,0.0557
Armenia,ARM,1884,0.056
Armenia,ARM,1885,0.0605
Armenia,ARM,1886,0.0615
Armenia,ARM,1887,0.0645
Armenia,ARM,1888,0.0667
Armenia,ARM,1889,0.0714
Armenia,ARM,1890,0.0801
Armenia,ARM,1891,0.0874
Armenia,ARM,1892,0.0917
Armenia,ARM,1893,0.1065
Armenia,ARM,1894,0.1076
Armenia,ARM,1895,0.1225
Armenia,ARM,1896,0.1236
Armenia,ARM,1897,0.1416
Armenia,ARM,1898,0.1574
Armenia,ARM,1899,0.181
Armenia,ARM,1900,0.2032
Armenia,ARM,1901,0.2068
Armenia,ARM,1902,0.198
Armenia,ARM,1903,0.1919
Armenia,ARM,1904,0.2117
Armenia,ARM,1905,0.1873
Armenia,ARM,1906,0.2117
Armenia,ARM,1907,0.235
Armenia,ARM,1908,0.2344
Armenia,ARM,1909,0.2452
Armenia,ARM,1910,0.2383
Armenia,ARM,1911,0.2449
Armenia,ARM,1912,0.275
Armenia,ARM,1913,0.2961
Armenia,ARM,1914,0.2648
Armenia,ARM,1915,0.2409
Armenia,ARM,1916,0.2545
Armenia,ARM,1917,0.2322
Armenia,ARM,1918,0.0917
Armenia,ARM,1919,0.0777
Armenia,ARM,1920,0.0702
Armenia,ARM,1921,0.0754
Armenia,ARM,1922,0.0911
Armenia,ARM,1923,0.0997
Armenia,ARM,1924,0.1177
Armenia,ARM,1925,0.1152
Armenia,ARM,1926,0.1653
Armenia,ARM,1927,0.2037
Armenia,ARM,1928,0.2217
Armenia,ARM,1929,0.2367
Armenia,ARM,1930,0.3202
Armenia,ARM,1931,0.3815
Armenia,ARM,1932,0.4253
Armenia,ARM,1933,0.4716
Armenia,ARM,1934,0.5647
Armenia,ARM,1935,0.6325
Armenia,ARM,1936,0.7175
Armenia,ARM,1937,0.7278
Armenia,ARM,1938,0.7612
Armenia,ARM,1939,0.7636
Armenia,ARM,1940,0.9071
Armenia,ARM,1941,0.7897
Armenia,ARM,1942,0.4292
Armenia,ARM,1943,0.4438
Armenia,ARM,1944,0.6378
Armenia,ARM,1945,0.6663
Armenia,ARM,1946,0.74
Armenia,ARM,1947,0.8819
Armenia,ARM,1948,0.9282
Armenia,ARM,1949,1.0402
Armenia,ARM,1950,1.1362
Armenia,ARM,1951,1.2049
Armenia,ARM,1952,1.2569
Armenia,ARM,1953,1.2901
Armenia,ARM,1954,1.3623
